version,additional0,total0,additional,total,max,max_normal
1,51.687187,88.166895,58.572731,87.984496,0.0,0.0
2,91.465084,69.329073,86.535828,57.507987,0.0,0.0
3,46.433471,75.697302,57.91038,86.808413,0.0,0.0
4,59.314114,91.265802,62.426468,91.320038,0.0,0.0
5,80.044291,35.605315,79.010827,34.030512,0.0,0.0
6,49.549311,46.553552,62.539767,63.467656,0.0,0.0
7,37.113687,62.720751,39.266004,57.312362,0.0,0.0
8,15.811258,22.488962,16.804636,21.274834,0.0,0.0
9,56.318985,85.62362,52.621413,79.056291,0.0,0.0
10,68.763858,6.568736,67.821508,6.236142,0.0,0.0
11,3.967814,4.411765,4.245283,4.356271,0.0,0.0
12,74.555061,85.845384,72.775306,79.894327,0.0,0.0
13,86.173184,87.625698,85.27933,82.094972,0.0,0.0
