version,additional0,total0,additional,total,max,max_normal
1,58.712477,63.20122,61.102251,64.732645,0.0,0.0
2,68.426755,73.664626,65.704192,69.566651,0.0,0.0
3,81.441891,77.844227,82.185911,77.768883,0.0,0.0
4,76.804561,82.543347,77.709197,82.175839,0.0,0.0
5,64.857225,69.926217,99.832311,71.114412,0.0,0.0
6,75.741441,81.658041,77.368631,81.991441,0.0,0.0
7,67.901235,45.742199,42.913386,44.279187,0.0,0.0
8,99.119515,56.336605,98.44592,56.721517,0.0,0.0
9,33.099457,33.40674,32.966301,33.130185,0.0,0.0
10,97.935912,56.962086,99.918206,60.763087,0.0,0.0
11,77.55102,83.312476,78.903543,83.389488,0.0,0.0
12,99.946772,78.733185,99.937095,78.007355,0.0,0.0
14,52.775956,55.130367,50.911788,52.797814,0.0,0.0
15,98.257009,74.686916,99.85514,74.406542,0.0,0.0
16,76.462617,81.009346,79.303738,83.0,0.0,0.0
17,87.082437,91.835875,90.357444,94.334238,0.0,0.0
18,71.666508,75.927683,72.72943,76.079529,0.0,0.0
19,68.806096,72.816941,71.37715,74.630703,0.0,0.0
20,52.754298,55.546586,54.615823,56.94273,0.0,0.0
21,56.854763,60.102003,59.409508,62.085907,0.0,0.0
22,56.759918,59.978481,59.407747,62.083645,0.0,0.0
23,98.229879,46.540433,97.688876,46.52145,0.0,0.0
24,97.614791,52.601618,96.57038,54.135303,0.0,0.0
25,73.901907,78.53406,75.86376,79.536785,0.0,0.0
27,64.485074,20.840494,53.270002,31.708675,0.0,0.0
28,50.772201,53.046426,49.882286,51.61503,0.0,0.0
29,84.10679,77.098597,80.473679,77.109897,0.0,0.0
30,88.306567,73.976052,88.08483,73.231651,0.0,0.0
31,98.16963,55.933251,98.007987,55.229628,0.0,0.0
32,43.196082,44.76512,43.685812,44.983834,0.0,0.0
34,39.998752,40.310706,40.972049,41.458697,0.0,0.0
35,90.667634,95.679729,92.235123,96.298984,0.0,0.0
36,99.851986,99.947479,99.947479,99.92838,0.0,0.0
37,96.678773,45.402848,96.53541,45.498423,0.0,0.0
38,36.175402,37.017024,36.242349,37.017024,0.0,0.0
39,32.862614,33.504069,32.814744,33.322164,0.0,0.0
40,72.024323,76.204156,73.182993,76.453126,0.0,0.0
41,85.347196,89.969018,87.608598,91.355245,0.0,0.0
42,36.657276,37.521857,37.755003,38.619584,0.0,0.0
43,90.558524,95.628946,92.612919,96.72171,0.0,0.0
44,38.262105,39.340325,39.350127,40.320525,0.0,0.0
45,62.595983,66.445166,63.708407,66.661744,0.0,0.0
46,57.114695,37.40795,35.30303,35.9319,0.0,0.0
47,66.698024,63.550568,58.348102,57.889882,0.0,0.0
48,86.259804,91.269608,87.681373,91.52451,0.0,0.0
49,72.095083,73.788668,73.748334,74.293865,0.0,0.0
50,54.311757,57.553257,77.191725,59.663048,0.0,0.0
