version,additional0,total0,additional,total,max,max_normal
1,16.870362,28.655609,31.536447,51.615015,0.0,0.0
2,21.534762,40.161784,15.019676,22.802798,0.0,0.0
3,22.987752,42.497813,36.723535,62.314086,0.0,0.0
4,9.649891,10.612691,8.68709,8.993435,0.0,0.0
5,21.598415,40.488771,15.037428,22.611185,0.0,0.0
6,44.343791,84.114008,52.386213,88.753867,0.0,0.0
7,98.297214,83.25962,99.358691,91.043786,0.0,0.0
8,74.25204,91.387126,65.231188,91.160471,0.0,0.0
9,64.425261,77.760109,70.581554,79.736483,0.0,0.0
10,65.916326,83.356071,72.328331,87.517053,0.0,0.0
11,4.088785,4.135514,3.995327,3.995327,0.0,0.0
12,5.025713,5.189341,4.651706,4.651706,0.0,0.0
13,20.987365,39.6584,14.623304,20.332241,0.0,0.0
14,10.0,12.457831,23.590361,35.542169,0.0,0.0
15,96.02245,89.311859,75.524646,91.02001,0.0,0.0
16,84.819688,71.515595,92.422027,81.846979,0.0,0.0
17,42.299633,84.677842,49.476166,88.658984,0.0,0.0
18,99.868973,94.365828,97.091195,91.01153,0.0,0.0
19,14.073287,25.544344,11.125863,15.613383,0.0,0.0
20,40.302869,38.097768,52.391073,57.545165,0.0,0.0
21,60.638298,8.919804,79.569013,35.870158,0.0,0.0
22,56.089569,62.015292,44.838886,37.356636,0.0,0.0
23,35.854724,73.53905,32.195522,60.431458,0.0,0.0
24,98.386214,72.073304,97.182713,78.637856,0.0,0.0
25,17.597154,37.794198,12.452107,19.129721,0.0,0.0
26,38.168151,78.479955,51.141425,92.399777,0.0,0.0
27,92.378559,84.338358,97.627024,95.114461,0.0,0.0
28,20.265687,42.029395,13.877897,20.265687,0.0,0.0
29,79.586636,76.698754,67.412231,69.05436,0.0,0.0
30,20.920069,33.018976,34.364577,55.669925,0.0,0.0
31,22.698321,47.075854,36.71106,67.486972,0.0,0.0
32,36.903341,79.206444,39.826969,74.134845,0.0,0.0
33,73.239857,33.02506,66.437947,23.060859,0.0,0.0
