version,additional0,total0,additional,total,max,max_normal
1,23.384075,30.245902,35.222482,43.52459,0.0,0.0
2,40.313457,52.380391,36.071176,44.650012,0.0,0.0
3,2.120268,2.144226,2.000479,2.000479,0.0,0.0
4,40.21164,52.224627,39.081289,48.833574,0.0,0.0
5,89.245605,6.848145,95.300293,20.861816,0.0,0.0
6,70.611521,92.44119,68.549233,86.467545,0.0,0.0
7,70.635115,96.481118,76.88818,98.663561,0.0,0.0
8,78.691983,33.643584,78.394142,20.985356,0.0,0.0
9,91.398252,37.315855,90.998752,30.074906,0.0,0.0
10,48.324914,62.443499,50.664717,62.01808,0.0,0.0
11,65.708556,88.516043,66.002674,83.542781,0.0,0.0
12,60.068885,66.689032,58.565933,72.718733,0.0,0.0
13,59.636608,79.959623,57.671602,71.292059,0.0,0.0
14,53.13678,69.803446,48.074852,58.414109,0.0,0.0
15,62.102371,83.820127,70.633314,90.124349,0.0,0.0
16,62.615741,84.403935,72.482639,92.346644,0.0,0.0
17,60.957888,81.717082,72.938909,92.630486,0.0,0.0
18,90.18414,99.094149,86.234036,96.836947,0.0,0.0
19,67.375781,90.850937,62.704552,78.68194,0.0,0.0
20,79.122024,99.092262,76.324405,96.770833,0.0,0.0
21,57.420229,75.993377,51.986755,63.59121,0.0,0.0
22,87.179487,41.508296,83.393665,39.894419,0.0,0.0
23,62.086244,82.432432,66.246584,82.432432,0.0,0.0
24,93.301944,82.396719,90.659174,82.275213,0.0,0.0
25,29.604052,37.246777,45.595457,54.496624,0.0,0.0
26,17.925716,22.552723,27.872206,32.656594,0.0,0.0
27,91.202392,17.957192,97.056972,37.157696,0.0,0.0
28,69.97796,93.938917,76.810453,97.213476,0.0,0.0
29,53.010108,70.482062,58.363879,73.003443,0.0,0.0
30,56.315789,75.263158,56.179966,70.40747,0.0,0.0
31,59.808443,81.819794,62.256119,79.726853,0.0,0.0
32,72.279516,99.875533,76.938122,99.377667,0.0,0.0
33,70.025054,95.866142,76.717967,98.944166,0.0,0.0
34,13.178713,16.738583,8.324344,10.266091,0.0,0.0
35,0.2886,0.108225,0.2886,0.207431,0.0,0.0
36,42.831282,5.104996,45.782042,6.372194,0.0,0.0
37,81.162666,49.372985,86.554998,77.669294,0.0,0.0
38,89.07767,71.788648,85.34354,62.042569,0.0,0.0
39,63.784087,88.625327,66.212178,85.674262,0.0,0.0
40,49.142111,66.672883,47.873928,59.921671,0.0,0.0
41,74.458146,38.994768,24.869208,30.287743,0.0,0.0
42,65.59322,91.996234,74.218456,97.570621,0.0,0.0
43,58.921345,62.152251,54.830551,52.288821,0.0,0.0
44,74.108854,97.48946,72.767344,95.688003,0.0,0.0
45,5.321637,6.179337,8.986355,11.208577,0.0,0.0
46,85.490354,26.64791,94.071543,45.920418,0.0,0.0
47,49.799035,32.837621,57.315113,52.793408,0.0,0.0
48,50.663717,68.80531,47.043443,58.588093,0.0,0.0
49,84.02379,65.935193,81.931911,70.159967,0.0,0.0
50,47.926929,65.168309,43.575534,53.715107,0.0,0.0
