version,additional0,total0,additional,total,max,max_normal
1,24.362781,32.009404,23.892601,30.153427,0.0,0.0
2,59.08191,76.726058,54.330611,67.817372,0.0,0.0
3,88.397722,86.584943,86.471025,88.313522,0.0,0.0
4,97.197309,77.516193,94.80568,69.544096,0.0,0.0
5,50.224271,37.947504,52.26763,39.251599,0.0,0.0
6,52.518759,58.641821,52.038519,58.071536,0.0,0.0
7,78.002513,94.422111,83.002513,96.231156,0.0,0.0
8,8.173804,10.088161,10.012594,11.775819,0.0,0.0
9,8.224181,10.138539,10.088161,11.876574,0.0,0.0
10,54.729388,69.650986,70.397066,90.452706,0.0,0.0
11,96.163586,46.074956,95.024057,35.439352,0.0,0.0
12,70.91908,83.739837,70.884146,87.255462,0.0,0.0
13,38.368233,48.991318,49.45097,60.737998,0.0,0.0
14,78.481823,97.481439,78.1234,95.833333,0.0,0.0
